Claim_ID,Claim,Claim_Type,Evidence_Level,Current_Basis,Linked_Games_or_Artefacts,Status,Proposed_Test
C001,Capitation reweighting improves distribution but does not necessarily expand total marginal supply.,Plausible mechanism,Level 3,Sapere/Ministry capitation material; microeconomic theory,G3; Brief 01; NZMJ methods annex,Active,System dynamics scenario: reweighting-only vs benefits schedule
C002,A transaction-level benefits schedule could let primary care supply expand without a fixed primary care envelope.,Policy option,Level 5,Analogy to MBS-style benefits; theory of activity-sensitive supply,Brief 01; game formalisation,Active,Fiscal simulation and low-value activity sensitivity analysis
C003,PHO payment intermediation may create transaction costs and barriers to entry.,Plausible mechanism,Level 3,2020 HDSR; PHO finance briefing; transaction-cost theory,G5; Brief 02,Active,Stakeholder interviews; contract/process mapping
C004,ACC activity funding may mitigate general-practice market failure.,Modelling assumption,Level 4,Cross-funder theory; provider revenue hypothesis,G6; Brief 03,Active,Practice revenue decomposition and ACC utilisation data
C005,Ambulance alternatives to ED conveyance can reduce hospital pressure if funded and governed safely.,Plausible mechanism,Level 3,Ambulance performance/commissioning sources; prehospital literature needed,G7; Brief 03,Active,Treat-and-refer outcomes and safety review
C006,Allowing claimable contacts from providers within scope can increase supply without removing clinical governance.,Policy option,Level 5,Scope-of-practice theory; multidisciplinary primary care policy,G8; Brief 01,Active,Contact-type safety/feasibility review
C007,Co-payment can act as a demand signal but may ration by ability to pay.,Established theory + equity concern,Level 2/3,Health economics; affordability literature needed,G10; Substack 05,Active,Elasticity/equity analysis
C008,Primary care and ambulance outcomes need top-tier KPI visibility comparable to hospitals.,Policy option,Level 5,Health target documents; KPI salience theory,G11; Brief 05,Active,Governance analysis and international comparison
C009,Hospital expenditure growth may be partly endogenous to constrained upstream access.,Core hypothesis,Level 3/4,System dynamics theory; public access/demand documents; data needed,G1-G4; NZMJ article,Active,Linked data and simulation validation
C010,The capitation formula is publicly described but not fully democratically legible/reproducible.,Evidence claim,Level 1/3,Ministry capitation page; Sapere/OIA material; PHO Services Agreement/rate tables to be obtained,Review/OIA track,Active,OIA for current calculation workbooks and schedules
