scenario_id,scenario_name,description,hybrid_viability_score,access_score,supply_generation_score,equity_legitimacy_score,governance_resilience_score,hospital_deflection_score,fiscal_risk_score,gaming_risk_score,hospital_pressure_score,mean_last12_primary_contacts_per_1000,mean_last12_unmet_need_index,mean_last12_ed_events_per_100k,mean_last12_admissions_per_100k,mean_last12_ambulance_conveyances_per_100k,mean_last12_hospital_pressure_index,mean_last12_public_cost_index,rank_by_hybrid_viability
F4,Full hybrid upstream architecture,Capitation + uncapped scheduled primary medical FFS + place accountability + urgent/ambulance alternatives + scope-enabled supply + strong data/audit/KPIs.,77.26,52.75,55.66,64.78,77.14,49.51,37.94,27.3,61.61,42.7,0.0,58.0,22.21,21.0,0.779,2.46,1
F3,Uncapped medical FFS + place accountability,Demand-led eligible medical activity plus capitation and explicit place/population responsibility.,62.51,38.62,40.1,53.54,67.04,26.83,44.45,30.76,74.36,29.03,31.57,66.07,23.49,32.62,0.912,2.72,2
F2,Uncapped scheduled medical FFS,"Eligible primary medical activity becomes demand-led through scheduled benefits, but place accountability remains weak.",56.4,36.44,40.38,28.0,62.68,22.75,49.23,39.1,75.86,27.08,54.4,71.9,24.41,41.01,0.982,2.91,3
F9,Place-based commissioning only,"Population accountability and outreach improve, but marginal activity funding is not materially uncapped.",54.26,22.11,14.33,51.99,51.88,21.41,27.09,30.35,79.07,11.89,77.91,77.9,25.37,49.66,1.0,3.09,4
F8,Scope-enabled supply only,"Broader providers can generate some activity, but payment architecture and place accountability are not fully reformed.",52.96,25.94,21.29,29.69,56.36,21.64,30.18,36.22,78.25,15.82,84.29,79.53,25.63,52.01,1.0,3.14,5
F7,Ambulance and urgent alternatives only,Urgent/ambulance alternatives are strengthened but the primary medical marginal payment signal remains weak.,52.74,26.87,14.33,29.69,51.88,29.12,26.57,35.75,72.31,14.92,77.13,74.96,24.9,40.98,0.984,2.95,6
F0,Current reform pathway,"Capitation reweighting, access target, digital/urgent care and PHO accountability, without uncapped primary medical FFS.",52.24,23.56,15.43,29.69,55.52,21.57,27.85,34.04,78.07,13.04,87.13,79.71,25.65,53.06,1.0,3.15,7
F1,Capitation reweighting only,Formula improves allocation but marginal activity remains weakly funded.,50.37,22.0,14.11,29.69,52.72,18.28,27.47,35.45,79.91,11.77,93.07,81.77,25.98,55.24,1.0,3.22,8
F6,ACC activity constraint shock,ACC activity payments are constrained without compensating Health NZ-funded upstream supply.,50.11,21.86,13.87,29.69,51.88,18.0,26.67,35.35,80.21,11.23,94.99,82.26,26.06,55.95,1.0,3.23,9
F5,Uncapped weak-control model,"Activity becomes demand-led but controls, place accountability and equity protections are weak.",46.11,33.47,37.25,13.84,37.02,19.97,65.29,70.64,77.18,24.06,67.29,75.19,24.94,45.75,1.0,3.03,10
