sequence,date,day,post_title,draft_file,theme,primary_figure
01,2026-05-12,Tuesday,Are we buying hospital growth by rationing cheaper care upstream?,post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,whole-system flow,../figures/fig-01-whole-system-flow-v1.2.0.png
02,2026-05-15,Friday,"Fee-for-service, capitation and blended funding: the plain-English version",post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.0.md,funding model basics,../figures/fig-02-funding-models-101-v1.2.0.png
03,2026-05-19,Tuesday,Marginal supply: the tiny economic idea that decides whether appointments exist,post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.0.md,marginal supply and microeconomics,../figures/fig-15-marginal-revenue-cost-v1.5.0.png
04,2026-05-22,Friday,Why formulas do not solve games,post-04-why-formulas-do-not-solve-games-v1.5.0.md,formula fixation,../figures/fig-09-fixed-envelope-rationing-v1.4.0.png
05,2026-05-26,Tuesday,"The current reform pathway: stronger than a straw man, but maybe still incomplete",post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.5.0.md,current reform comparator,../figures/fig-14-current-reform-vs-uncapped-hybrid-v1.4.0.png
06,2026-05-29,Friday,What I mean by uncapping primary care funding,post-06-what-i-mean-by-uncapping-primary-care-funding-v1.5.0.md,uncapped scheduled medical activity,../figures/fig-16-uncapped-scheduled-benefit-supply-v1.5.0.png
07,2026-06-02,Tuesday,The hospital salience game and the Health New Zealand allocation game,post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.5.0.md,hospital salience and internal allocation,../figures/fig-04-hospital-rescue-loop-v1.2.0.png
08,2026-06-05,Friday,The capitation marginal-supply game and the consumer access game,post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.5.0.md,capitation and consumer choices,../figures/fig-08-marginal-supply-capitation-vs-ffs-v1.4.0.png
09,2026-06-09,Tuesday,"Primary Health Organisations: useful functions, payment friction and cherry-picking",post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.5.0.md,Primary Health Organisation function versus friction,../figures/fig-11-place-accountability-cherrypicking-v1.4.0.png
10,2026-06-12,Friday,"Accident Compensation Corporation, ambulance and urgent care: the hidden upstream system",post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.5.0.md,upstream access infrastructure,../figures/fig-18-upstream-access-map-v1.5.0.png
11,2026-06-16,Tuesday,Who should be allowed to generate primary care supply?,post-11-who-should-be-allowed-to-generate-primary-care-supply-v1.5.0.md,scope-enabled supply,../figures/fig-19-scope-enabled-supply-v1.5.0.png
12,2026-06-19,Friday,"Telehealth is an extender, not a replacement for local supply",post-12-telehealth-is-an-extender-not-a-replacement-for-local-supply-v1.5.0.md,telehealth and local care,../figures/fig-20-telehealth-extender-not-replacement-v1.5.0.png
13,2026-06-23,Tuesday,Co-payments: demand signal or equity failure?,post-13-co-payments-demand-signal-or-equity-failure-v1.5.0.md,co-payments and equity,../figures/fig-17-copayment-demand-equity-v1.5.0.png
14,2026-06-26,Friday,The 19 games: a map of the New Zealand primary care funding problem,post-14-the-19-games-a-map-of-the-new-zealand-primary-care-funding-problem-v1.5.0.md,individual games,../figures/fig-21-nineteen-game-map-v1.5.0.png
15,2026-06-30,Tuesday,The hybrid game: why no single lever is enough,post-15-the-hybrid-game-why-no-single-lever-is-enough-v1.5.0.md,hybrid game,../figures/fig-13-hybrid-architecture-v1.4.0.png
16,2026-07-03,Friday,"Composite modelling: what the demonstrative model adds, and what it does not",post-16-composite-modelling-what-the-demonstrative-model-adds-and-what-it-does-not-v1.5.0.md,composite modelling,../figures/fig-22-composite-model-stack-v1.5.0.png
17,2026-07-07,Tuesday,Game-informed Multi-Criteria Decision Analysis: making disagreement useful,post-17-game-informed-multi-criteria-decision-analysis-making-disagreement-useful-v1.5.0.md,decision support,../figures/fig-06-mcda-workshop-flow-v1.2.0.png
18,2026-07-10,Friday,Recommendations: a primary care system that can grow before hospitals have to,post-18-recommendations-a-primary-care-system-that-can-grow-before-hospitals-have-to-v1.5.0.md,recommendations,../figures/fig-23-recommendations-stack-v1.5.0.png
