month,primary_contacts,unmet_need_index,ed_presentations,ambulance_conveyances,public_cost
1,1242.8125,88.9345,294.4242375,118.69552499999999,1675036.665625
2,1265.0027901044314,116.76079,320.0158916916288,132.68145711513776,1729288.1946350476
3,1273.125,139.5783478,339.173219545,143.48525651,1769436.4711537499
4,1265.0027901044314,158.288745196,352.2000569685288,151.36903695333777,1795992.4726686224
5,1242.8125,173.63127106072002,360.06423507205795,156.80907197732404,1811080.8541412815
6,1212.5,186.2121422697904,364.3144102590876,160.4704640214057,1818235.753520851
7,1182.1875,196.52845666122815,366.8095539124518,163.1128054975527,1821753.2085120976
8,1159.9972098955684,204.98783446220708,369.33929226658165,165.45542389285544,1825785.5334073724
9,1151.875,211.92452425900981,373.24150630073257,168.04103591655445,1833430.0170910344
10,1159.9972098955684,217.61260989238806,379.1234932249719,171.1365728364369,1846064.0789421008
11,1182.1875,222.27684011175822,386.76455108661264,174.69957805029122,1863111.5494295117
12,1212.5,226.1015088916417,395.2286693910223,178.4206790012388,1882308.0486571996
13,1242.8125,229.2377372911462,403.15924640063827,181.8319817810158,1900398.7405239036
14,1265.0027901044314,231.80944457873986,409.1785989901522,184.4533516755707,1914085.0960521486
15,1273.125,233.91824455456666,412.2866395297891,185.938210049555,1920969.9303157728
16,1265.0027901044314,235.64746053474462,412.1530613560559,186.18045885577283,1920249.9091814812
17,1242.8125,237.06541763849057,409.2256986698302,185.35443793732077,1912971.9520818254
18,1212.5,238.22814246356225,404.62681040926077,183.87766410860303,1901786.4538320971
19,1182.1875,239.18157682012102,399.8657220355939,182.30670956905448,1890264.7827673194
20,1159.9972098955684,239.96339299249925,396.4453501275581,181.19442523148695,1881965.0242966544
21,1151.875,240.6044822538494,395.46847374673325,180.94701701423224,1879497.1996202457
22,1159.9972098955684,241.1301754481565,397.3496065306924,181.7194773365327,1883839.1686160539
23,1182.1875,241.56124386748834,401.7099639973035,183.37755974036975,1894087.1229621533
24,1212.5,241.91471997134042,407.4839079777888,185.5366239871032,1907708.0189539655
