parameter,correlation,abs_correlation
direct_claiming,0.661410383474828,0.661410383474828
capitation_weighting,0.6666121114218985,0.6666121114218985
marginal_contact_benefit,0.723607907338586,0.723607907338586
copayment_level,-0.7245255097388604,0.7245255097388604
copayment_protections,0.7716769155077097,0.7716769155077097
primary_kpi_salience,0.7721063963991688,0.7721063963991688
telehealth_integration,0.7806405081882899,0.7806405081882899
budget_tightness,-0.8133403379318969,0.8133403379318969
stakeholder_alignment,0.8235284531405566,0.8235284531405566
data_observability,0.8238801931638038,0.8238801931638038
narrative_coherence,0.8799327806697977,0.8799327806697977
local_inperson_loading,0.8874045206779821,0.8874045206779821
