scenario_id,outcome,parameter,correlation,abs_correlation
P0,weighted_hospital_pressure,marginal_contact_benefit,-0.7431,0.7431
P0,weighted_hospital_pressure,data_observability,-0.3418,0.3418
P0,weighted_hospital_pressure,primary_kpi_salience,-0.2698,0.2698
P0,weighted_hospital_pressure,ambulance_alternative_funding,-0.2152,0.2152
P0,weighted_hospital_pressure,copayment_level,0.2112,0.2112
P0,weighted_hospital_pressure,scope_flexibility,-0.1735,0.1735
P0,weighted_hospital_pressure,ambulance_kpi_salience,-0.1658,0.1658
P0,weighted_hospital_pressure,hospital_political_penalty,0.142,0.142
P1,weighted_hospital_pressure,marginal_contact_benefit,-0.7667,0.7667
P1,weighted_hospital_pressure,data_observability,-0.3796,0.3796
P1,weighted_hospital_pressure,ambulance_alternative_funding,-0.2654,0.2654
P1,weighted_hospital_pressure,scope_flexibility,-0.2092,0.2092
P1,weighted_hospital_pressure,primary_kpi_salience,-0.199,0.199
P1,weighted_hospital_pressure,ambulance_kpi_salience,-0.1921,0.1921
P1,weighted_hospital_pressure,copayment_level,0.1833,0.1833
P1,weighted_hospital_pressure,copayment_protections,-0.1509,0.1509
P2,weighted_hospital_pressure,marginal_contact_benefit,-0.7771,0.7771
P2,weighted_hospital_pressure,data_observability,-0.3633,0.3633
P2,weighted_hospital_pressure,primary_kpi_salience,-0.2579,0.2579
P2,weighted_hospital_pressure,ambulance_alternative_funding,-0.2015,0.2015
P2,weighted_hospital_pressure,scope_flexibility,-0.1985,0.1985
P2,weighted_hospital_pressure,ambulance_kpi_salience,-0.1639,0.1639
P2,weighted_hospital_pressure,safety_governance,-0.1607,0.1607
P2,weighted_hospital_pressure,stakeholder_alignment,-0.1342,0.1342
P3,weighted_hospital_pressure,marginal_contact_benefit,-0.7327,0.7327
P3,weighted_hospital_pressure,data_observability,-0.366,0.366
P3,weighted_hospital_pressure,ambulance_alternative_funding,-0.2889,0.2889
P3,weighted_hospital_pressure,scope_flexibility,-0.2291,0.2291
P3,weighted_hospital_pressure,ambulance_kpi_salience,-0.2153,0.2153
P3,weighted_hospital_pressure,primary_kpi_salience,-0.199,0.199
P3,weighted_hospital_pressure,safety_governance,-0.1762,0.1762
P3,weighted_hospital_pressure,stakeholder_alignment,-0.1608,0.1608
P4,weighted_hospital_pressure,marginal_contact_benefit,-0.6876,0.6876
P4,weighted_hospital_pressure,data_observability,-0.4397,0.4397
P4,weighted_hospital_pressure,safety_governance,-0.2719,0.2719
P4,weighted_hospital_pressure,ambulance_alternative_funding,-0.2518,0.2518
P4,weighted_hospital_pressure,copayment_level,0.2482,0.2482
P4,weighted_hospital_pressure,primary_kpi_salience,-0.2384,0.2384
P4,weighted_hospital_pressure,copayment_protections,-0.2062,0.2062
P4,weighted_hospital_pressure,ambulance_kpi_salience,-0.1956,0.1956
P5,weighted_hospital_pressure,marginal_contact_benefit,-0.7408,0.7408
P5,weighted_hospital_pressure,data_observability,-0.3187,0.3187
P5,weighted_hospital_pressure,ambulance_alternative_funding,-0.2532,0.2532
P5,weighted_hospital_pressure,primary_kpi_salience,-0.25,0.25
P5,weighted_hospital_pressure,scope_flexibility,-0.2197,0.2197
P5,weighted_hospital_pressure,copayment_protections,-0.1889,0.1889
P5,weighted_hospital_pressure,ambulance_kpi_salience,-0.157,0.157
P5,weighted_hospital_pressure,hospital_political_penalty,0.1569,0.1569
P6,weighted_hospital_pressure,marginal_contact_benefit,-0.6999,0.6999
P6,weighted_hospital_pressure,data_observability,-0.4019,0.4019
P6,weighted_hospital_pressure,primary_kpi_salience,-0.2828,0.2828
P6,weighted_hospital_pressure,ambulance_alternative_funding,-0.254,0.254
P6,weighted_hospital_pressure,scope_flexibility,-0.2469,0.2469
P6,weighted_hospital_pressure,copayment_protections,-0.1796,0.1796
P6,weighted_hospital_pressure,hospital_political_penalty,0.1551,0.1551
P6,weighted_hospital_pressure,ambulance_kpi_salience,-0.1408,0.1408
P7,weighted_hospital_pressure,marginal_contact_benefit,-0.8191,0.8191
P7,weighted_hospital_pressure,data_observability,-0.2927,0.2927
P7,weighted_hospital_pressure,scope_flexibility,-0.2174,0.2174
P7,weighted_hospital_pressure,primary_kpi_salience,-0.2172,0.2172
P7,weighted_hospital_pressure,safety_governance,-0.195,0.195
P7,weighted_hospital_pressure,ambulance_kpi_salience,-0.195,0.195
P7,weighted_hospital_pressure,ambulance_alternative_funding,-0.1674,0.1674
P7,weighted_hospital_pressure,copayment_protections,-0.1364,0.1364
P8,weighted_hospital_pressure,marginal_contact_benefit,-0.7982,0.7982
P8,weighted_hospital_pressure,data_observability,-0.2963,0.2963
P8,weighted_hospital_pressure,ambulance_alternative_funding,-0.2207,0.2207
P8,weighted_hospital_pressure,scope_flexibility,-0.2011,0.2011
P8,weighted_hospital_pressure,copayment_protections,-0.1916,0.1916
P8,weighted_hospital_pressure,ambulance_kpi_salience,-0.1532,0.1532
P8,weighted_hospital_pressure,primary_kpi_salience,-0.153,0.153
P8,weighted_hospital_pressure,stakeholder_alignment,-0.1179,0.1179
